"Credit Card (UPC)","Кредитные карты (UPC)"
"UPC Payment","Оплата через UPC"
"Enabled","Включено"
"Test Mode","Тестовый режим"
"Title","Название"
"Sort Order","Порядок сортировки"
"Sort order among other payment options during checkout","Порядок сортировки среди других методов оплаты при оформлении заказа"
"Merchant ID","ИД продавца"
"Terminal ID","ИД терминала"
"Private Key","Ваш закрытый ключ"
"Public Key","Открытый ключ сервера UPC"
"Interface Language","Язык интерфейса при оплате"
"Notify URL","Адрес обратного вызова"
"Save this Notify URL in your merchant account in UPC","Сохраните адрес обратного вызова (Notify URL) в Вашем кабинете продавца в UPC"
"File is saved in var/uploads folder","Файл сохраняется в папке var/uploads"
"You will be redirected to UPC website to process payment after you place an order.","После оформления заказа Вы будете перенаправлены на сайт UPC для оплаты"
"You will be redirected to the UPC website in a few seconds.","Вы будете перенаправлены на сайт UPC через несколько секунд."
"Russian","Русский"
"Ukrainian","Украинский"
"English","Английский"
"Payment for order #%s","Оплата заказа #%s"
"Hash did not match, check UPC certificate","Ошибка контрольной суммы в сообщении. Проверьте ключ сервера UPC."
"The customer was redirected to UPC.","Покупатель перенаправлен на сайт UPC."
"Payment was successful. Approval code: %s","Успешная оплата. Код авторизации: %s"
"Payment failed: %s. Approval code: %s","Ошибка при оплате: %s. Код авторизации: %s"